instance,scale,rule,ort_feasible,droc_feasible,ort_vehicles,droc_vehicles,ort_distance,droc_distance,ort_runtime,droc_runtime,vehicle_improvement,distance_improvement,runtime_ratio
ORTEC-SYNTH-300-s46,300,retry,True,True,28.0,27.0,140698.0,141437.0,40.41,141.32,3.571428571428571,-0.5252384539936602,3.4971541697599604
ORTEC-SYNTH-300-s48,300,latest,True,True,30.0,30.0,156680.2,156042.0,36.18,181.71,0.0,0.40732651604989756,5.022388059701493
ORTEC-SYNTH-300-s48,300,retry,True,True,30.0,30.0,156680.2,156042.0,36.18,181.71,0.0,0.40732651604989756,5.022388059701493
ORTEC-SYNTH-300-s51,300,latest,True,True,27.0,26.0,142441.2,144467.0,30.74,177.77,3.7037037037037033,-1.4222008800824397,5.783018867924529
ORTEC-SYNTH-300-s51,300,retry,True,True,27.0,25.0,142441.2,138249.0,30.74,149.35,7.4074074074074066,2.943109156620424,4.8584905660377355
ORTEC-SYNTH-300-s50,300,latest,True,True,29.0,29.0,149950.8,149381.0,39.61,307.79,0.0,0.37999130381431007,7.770512496844232
ORTEC-SYNTH-300-s50,300,retry,True,True,29.0,27.0,149950.8,156232.0,39.61,217.86,6.896551724137931,-4.188840606385569,5.500126230749811
ORTEC-SYNTH-300-s52,300,latest,False,True,29.0,34.0,165335.6,222659.0,39.75,141.78,,,3.566792452830189
ORTEC-SYNTH-300-s52,300,retry,False,True,29.0,31.0,165335.6,170848.0,39.75,153.69,,,3.8664150943396227
ORTEC-SYNTH-300-s53,300,latest,True,True,27.0,26.0,136572.7,135581.0,28.37,150.36,3.7037037037037033,0.7261334073354423,5.299964751498061
ORTEC-SYNTH-300-s53,300,retry,True,True,27.0,25.0,136572.7,110944.0,28.37,148.89,7.4074074074074066,18.7656098180676,5.248149453648219
ORTEC-SYNTH-300-s54,300,latest,True,True,31.0,30.0,168883.5,166148.0,31.97,153.51,3.225806451612903,1.619755630360574,4.801689083515796
ORTEC-SYNTH-300-s54,300,retry,True,True,31.0,24.0,168883.5,152954.0,31.97,190.76,22.58064516129032,9.432241752450654,5.966843916171411
ORTEC-SYNTH-300-s49,300,latest,True,True,28.0,29.0,159718.5,166004.0,79.12,195.79,-3.571428571428571,-3.9353612762453944,2.4745955510616784
ORTEC-SYNTH-300-s49,300,retry,True,True,28.0,26.0,159718.5,147146.0,79.12,186.02,7.142857142857142,7.8716617048119035,2.351112234580384
ORTEC-SYNTH-300-s55,300,latest,True,True,29.0,29.0,170132.2,168484.0,40.28,202.53,0.0,0.9687760459219428,5.028053624627606
ORTEC-SYNTH-300-s55,300,retry,True,True,29.0,26.0,170132.2,157127.0,40.28,172.44,10.344827586206897,7.64417317826961,4.281032770605759
ORTEC-SYNTH-300-s57,300,latest,True,True,28.0,28.0,163892.1,127971.0,37.28,183.29,0.0,21.917529887041535,4.916577253218883
ORTEC-SYNTH-300-s57,300,retry,True,True,28.0,27.0,163892.1,160580.0,37.28,176.45,3.571428571428571,2.020902776887968,4.733100858369098
ORTEC-SYNTH-300-s56,300,latest,True,True,31.0,30.0,156767.9,156162.0,51.48,176.92,3.225806451612903,0.3864949393338778,3.4366744366744366
ORTEC-SYNTH-300-s56,300,retry,True,True,31.0,27.0,156767.9,148829.0,51.48,165.24,12.903225806451612,5.064110701234114,3.20979020979021
ORTEC-SYNTH-300-s60,300,latest,True,True,28.0,27.0,140886.5,138893.0,37.04,110.11,3.571428571428571,1.4149687869313243,2.972732181425486
ORTEC-SYNTH-300-s60,300,retry,True,True,28.0,27.0,140886.5,138893.0,37.04,110.11,3.571428571428571,1.4149687869313243,2.972732181425486
ORTEC-SYNTH-300-s61,300,latest,True,True,29.0,26.0,132562.4,128092.0,29.15,99.45,10.344827586206897,3.372298630682603,3.411663807890223
ORTEC-SYNTH-300-s61,300,retry,True,True,29.0,25.0,132562.4,126977.0,29.15,161.43,13.793103448275861,4.213411947882653,5.5379073756432255
ORTEC-SYNTH-300-s58,300,latest,True,True,31.0,29.0,169095.0,157229.0,69.15,101.75,6.451612903225806,7.017357106951713,1.4714389009399855
ORTEC-SYNTH-300-s58,300,retry,True,True,31.0,25.0,169095.0,124657.0,69.15,86.85,19.35483870967742,26.279901830332065,1.2559652928416485
ORTEC-SYNTH-300-s62,300,latest,True,True,31.0,30.0,179501.9,133980.0,29.99,105.91,3.225806451612903,25.360121536317997,3.531510503501167
ORTEC-SYNTH-300-s62,300,retry,True,True,31.0,28.0,179501.9,169932.0,29.99,151.46,9.67741935483871,5.3313641805462755,5.050350116705569
ORTEC-SYNTH-300-s63,300,latest,True,True,28.0,28.0,157665.9,154926.0,47.39,176.31,0.0,1.7377885769846204,3.7204051487655625
ORTEC-SYNTH-300-s63,300,retry,True,True,28.0,27.0,157665.9,151785.0,47.39,165.75,3.571428571428571,3.729975854005206,3.497573327706267
ORTEC-SYNTH-300-s65,300,latest,True,True,29.0,28.0,133575.9,111979.0,26.82,186.47,3.4482758620689653,16.168260891373365,6.952647278150634
ORTEC-SYNTH-300-s65,300,retry,True,True,29.0,28.0,133575.9,111979.0,26.82,186.47,3.4482758620689653,16.168260891373365,6.952647278150634
ORTEC-SYNTH-300-s59,300,latest,False,True,0.0,22.0,0.0,113735.0,120.48,197.24,,,1.6371181938911024
ORTEC-SYNTH-300-s59,300,retry,False,True,0.0,22.0,0.0,113735.0,120.48,197.24,,,1.6371181938911024
ORTEC-SYNTH-300-s66,300,latest,True,True,28.0,28.0,143440.5,146979.0,33.14,200.16,0.0,-2.4668765097723444,6.03983101991551
ORTEC-SYNTH-300-s66,300,retry,True,True,28.0,25.0,143440.5,143605.0,33.14,160.92,10.714285714285714,-0.11468169728911988,4.855763427881714
