block,scale,latest_rate,retry_rate,n
Static,300,94.28571428571428,98.57142857142858,70
Static,500,93.15068493150685,100.0,73
Static,800,76.19047619047619,98.4126984126984,63
Dynamic,300,91.42857142857143,95.71428571428572,70
Dynamic,500,90.41095890410958,97.26027397260275,73
Dynamic,800,69.84126984126983,88.88888888888889,63
