method,scenario,scale,epoch,served_rate,runtime_sec,feasible,orders_dispatched,orders_pending
OR-Tools,ORTEC-SYNTH-300-s111_dyn5e,300,3,0.8,8.34,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s111_dyn5e,300,4,1.0,8.43,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s110_dyn5e,300,0,0.2,7.95,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s110_dyn5e,300,1,0.4,8.76,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s110_dyn5e,300,2,0.6,8.65,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s110_dyn5e,300,3,0.8,10.01,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s110_dyn5e,300,4,1.0,7.28,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s42_dyn5e,300,0,0.2,9.2,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s42_dyn5e,300,1,0.4,7.47,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s42_dyn5e,300,2,0.6,7.69,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s42_dyn5e,300,3,0.8,9.19,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s42_dyn5e,300,4,1.0,8.57,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s43_dyn5e,300,0,0.2,11.38,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s43_dyn5e,300,1,0.4,8.72,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s43_dyn5e,300,2,0.6,11.34,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s43_dyn5e,300,3,0.8,8.92,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s43_dyn5e,300,4,1.0,5.75,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s44_dyn5e,300,0,0.2,6.49,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s44_dyn5e,300,1,0.4,9.5,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s44_dyn5e,300,2,0.6,9.66,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s44_dyn5e,300,3,0.8,9.67,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s44_dyn5e,300,4,1.0,7.77,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s45_dyn5e,300,0,0.2,7.98,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s45_dyn5e,300,1,0.4,6.98,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s45_dyn5e,300,2,0.6,8.85,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s45_dyn5e,300,3,0.8,11.52,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s45_dyn5e,300,4,1.0,7.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s46_dyn5e,300,0,0.2,8.61,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s46_dyn5e,300,1,0.4,12.15,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s46_dyn5e,300,2,0.6,9.13,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s46_dyn5e,300,3,0.8,6.63,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s46_dyn5e,300,4,1.0,7.28,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s47_dyn5e,300,0,0.2,7.94,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s47_dyn5e,300,1,0.4,9.3,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s47_dyn5e,300,2,0.6,6.9,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s47_dyn5e,300,3,0.8,6.62,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s47_dyn5e,300,4,1.0,6.18,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s49_dyn5e,300,0,0.2,6.84,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s49_dyn5e,300,1,0.4,10.19,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s49_dyn5e,300,2,0.6,10.0,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s49_dyn5e,300,3,0.8,6.03,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s49_dyn5e,300,4,1.0,6.23,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s48_dyn5e,300,0,0.2,7.75,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s48_dyn5e,300,1,0.4,9.9,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s48_dyn5e,300,2,0.6,7.82,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s48_dyn5e,300,3,0.8,9.25,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s48_dyn5e,300,4,1.0,10.16,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s50_dyn5e,300,0,0.2,7.98,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s50_dyn5e,300,1,0.4,7.99,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s50_dyn5e,300,2,0.6,8.83,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s50_dyn5e,300,3,0.8,8.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s50_dyn5e,300,4,1.0,9.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s51_dyn5e,300,0,0.2,11.55,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s51_dyn5e,300,1,0.4,7.81,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s51_dyn5e,300,2,0.6,10.05,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s51_dyn5e,300,3,0.8,6.55,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s51_dyn5e,300,4,1.0,8.21,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s52_dyn5e,300,0,0.2,8.44,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s52_dyn5e,300,1,0.4,9.51,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s52_dyn5e,300,2,0.6,8.33,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s52_dyn5e,300,3,0.8,6.09,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s52_dyn5e,300,4,1.0,6.47,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s53_dyn5e,300,0,0.2,6.99,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s53_dyn5e,300,1,0.4,6.98,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s53_dyn5e,300,2,0.6,9.81,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s53_dyn5e,300,3,0.8,10.29,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s53_dyn5e,300,4,1.0,12.3,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s54_dyn5e,300,0,0.2,7.12,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s54_dyn5e,300,1,0.4,10.04,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s54_dyn5e,300,2,0.6,9.28,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s54_dyn5e,300,3,0.8,7.6,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s54_dyn5e,300,4,1.0,6.33,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s55_dyn5e,300,0,0.2,8.61,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s55_dyn5e,300,1,0.4,12.52,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s55_dyn5e,300,2,0.6,8.86,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s55_dyn5e,300,3,0.8,6.29,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s55_dyn5e,300,4,1.0,15.26,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s56_dyn5e,300,0,0.2,7.46,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s56_dyn5e,300,1,0.4,6.37,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s56_dyn5e,300,2,0.6,9.37,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s56_dyn5e,300,3,0.8,10.51,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s56_dyn5e,300,4,1.0,7.79,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s57_dyn5e,300,0,0.2,9.87,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s57_dyn5e,300,1,0.4,9.11,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s57_dyn5e,300,2,0.6,8.52,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s57_dyn5e,300,3,0.8,5.09,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s57_dyn5e,300,4,1.0,10.96,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s58_dyn5e,300,0,0.2,11.47,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s58_dyn5e,300,1,0.4,8.27,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s58_dyn5e,300,2,0.6,10.13,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s58_dyn5e,300,3,0.8,7.93,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s58_dyn5e,300,4,1.0,7.43,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s60_dyn5e,300,0,0.2,9.7,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s60_dyn5e,300,1,0.4,8.71,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s60_dyn5e,300,2,0.6,5.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s60_dyn5e,300,3,0.8,10.22,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s60_dyn5e,300,4,1.0,7.68,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s61_dyn5e,300,0,0.2,7.74,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s61_dyn5e,300,1,0.4,7.22,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s61_dyn5e,300,2,0.6,7.51,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s61_dyn5e,300,3,0.8,6.22,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s61_dyn5e,300,4,1.0,5.46,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s62_dyn5e,300,0,0.2,7.8,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s62_dyn5e,300,1,0.4,9.44,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s62_dyn5e,300,2,0.6,6.42,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s62_dyn5e,300,3,0.8,11.24,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s62_dyn5e,300,4,1.0,10.09,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s63_dyn5e,300,0,0.2,6.33,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s63_dyn5e,300,1,0.4,9.27,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s63_dyn5e,300,2,0.6,7.43,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s63_dyn5e,300,3,0.8,7.38,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s63_dyn5e,300,4,1.0,8.97,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s64_dyn5e,300,0,0.2,8.76,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s64_dyn5e,300,1,0.4,8.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s64_dyn5e,300,2,0.6,10.91,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s64_dyn5e,300,3,0.8,9.55,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s64_dyn5e,300,4,1.0,10.28,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s65_dyn5e,300,0,0.2,9.09,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s65_dyn5e,300,1,0.4,6.64,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s65_dyn5e,300,2,0.6,7.17,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s65_dyn5e,300,3,0.8,9.92,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s65_dyn5e,300,4,1.0,10.95,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s66_dyn5e,300,0,0.2,9.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s66_dyn5e,300,1,0.4,5.03,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s66_dyn5e,300,2,0.6,9.16,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s66_dyn5e,300,3,0.8,6.37,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s66_dyn5e,300,4,1.0,6.79,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s67_dyn5e,300,0,0.2,6.89,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s67_dyn5e,300,1,0.4,10.45,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s67_dyn5e,300,2,0.6,7.78,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s67_dyn5e,300,3,0.8,10.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s67_dyn5e,300,4,1.0,6.84,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s69_dyn5e,300,0,0.2,7.61,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s69_dyn5e,300,1,0.4,6.43,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s69_dyn5e,300,2,0.6,7.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s69_dyn5e,300,3,0.8,5.9,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s69_dyn5e,300,4,1.0,7.36,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s70_dyn5e,300,0,0.2,6.49,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s70_dyn5e,300,1,0.4,7.91,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s70_dyn5e,300,2,0.6,7.22,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s70_dyn5e,300,3,0.8,10.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s70_dyn5e,300,4,1.0,7.68,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s72_dyn5e,300,0,0.2,8.93,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s72_dyn5e,300,1,0.4,11.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s72_dyn5e,300,2,0.6,8.76,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s72_dyn5e,300,3,0.8,7.96,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s72_dyn5e,300,4,1.0,9.87,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s59_dyn5e,300,0,0.2,8.06,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s59_dyn5e,300,1,0.4,7.36,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s59_dyn5e,300,2,0.6,7.61,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s59_dyn5e,300,3,0.6,120.09,False,0.0,60.0
OR-Tools,ORTEC-SYNTH-300-s59_dyn5e,300,4,0.6,120.17,False,0.0,120.0
OR-Tools,ORTEC-SYNTH-300-s73_dyn5e,300,0,0.2,7.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s73_dyn5e,300,1,0.4,9.17,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s73_dyn5e,300,2,0.6,7.9,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s73_dyn5e,300,3,0.8,6.37,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s73_dyn5e,300,4,1.0,9.25,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s74_dyn5e,300,0,0.2,9.12,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s74_dyn5e,300,1,0.4,10.3,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s74_dyn5e,300,2,0.6,9.29,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s74_dyn5e,300,3,0.8,12.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s74_dyn5e,300,4,1.0,7.16,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s75_dyn5e,300,0,0.2,9.3,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s75_dyn5e,300,1,0.4,10.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s75_dyn5e,300,2,0.6,9.35,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s75_dyn5e,300,3,0.8,10.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s75_dyn5e,300,4,1.0,13.5,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s76_dyn5e,300,0,0.2,10.23,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s76_dyn5e,300,1,0.4,9.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s76_dyn5e,300,2,0.6,5.12,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s76_dyn5e,300,3,0.8,8.5,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s76_dyn5e,300,4,1.0,9.16,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s78_dyn5e,300,0,0.2,10.31,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s78_dyn5e,300,1,0.4,6.46,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s78_dyn5e,300,2,0.6,12.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s78_dyn5e,300,3,0.8,8.42,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s78_dyn5e,300,4,1.0,9.45,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s71_dyn5e,300,0,0.2,9.61,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s71_dyn5e,300,1,0.4,6.3,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s71_dyn5e,300,2,0.6,10.21,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s71_dyn5e,300,3,0.6,120.47,False,0.0,60.0
OR-Tools,ORTEC-SYNTH-300-s71_dyn5e,300,4,0.6,120.19,False,0.0,120.0
OR-Tools,ORTEC-SYNTH-300-s79_dyn5e,300,0,0.2,7.19,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s79_dyn5e,300,1,0.4,11.8,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s79_dyn5e,300,2,0.6,10.77,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s79_dyn5e,300,3,0.8,9.03,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s79_dyn5e,300,4,1.0,5.89,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s80_dyn5e,300,0,0.2,10.04,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s80_dyn5e,300,1,0.4,6.9,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s80_dyn5e,300,2,0.6,8.45,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s80_dyn5e,300,3,0.8,8.39,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s80_dyn5e,300,4,1.0,10.92,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s81_dyn5e,300,0,0.2,8.15,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s81_dyn5e,300,1,0.4,6.63,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s81_dyn5e,300,2,0.6,7.55,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s81_dyn5e,300,3,0.8,10.28,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s81_dyn5e,300,4,1.0,6.13,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s68_dyn5e,300,0,0.2,13.13,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s68_dyn5e,300,1,0.4,11.85,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s68_dyn5e,300,2,0.4,120.07,False,0.0,60.0
OR-Tools,ORTEC-SYNTH-300-s68_dyn5e,300,3,0.4,120.39,False,0.0,120.0
OR-Tools,ORTEC-SYNTH-300-s68_dyn5e,300,4,0.4,120.14,False,0.0,180.0
OR-Tools,ORTEC-SYNTH-300-s82_dyn5e,300,0,0.2,9.95,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s82_dyn5e,300,1,0.4,8.07,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s82_dyn5e,300,2,0.6,8.13,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s82_dyn5e,300,3,0.8,11.93,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s82_dyn5e,300,4,1.0,9.8,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s83_dyn5e,300,0,0.2,9.1,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s83_dyn5e,300,1,0.4,7.61,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s83_dyn5e,300,2,0.6,9.36,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s83_dyn5e,300,3,0.8,8.9,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s83_dyn5e,300,4,1.0,11.41,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s84_dyn5e,300,0,0.2,9.33,True,60.0,0.0
OR-Tools,ORTEC-SYNTH-300-s84_dyn5e,300,1,0.4,7.38,True,60.0,0.0
