setting,scale,rule,metric,value,unit
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s46
static,300,latest,distance_reduction_pct,0.47477576084947903,ORTEC-SYNTH-300-s46
static,300,retry,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s46
static,300,retry,distance_reduction_pct,-0.5252384539936602,ORTEC-SYNTH-300-s46
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s48
static,300,latest,distance_reduction_pct,0.40732651604989756,ORTEC-SYNTH-300-s48
static,300,retry,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s48
static,300,retry,distance_reduction_pct,0.40732651604989756,ORTEC-SYNTH-300-s48
static,300,latest,vehicle_reduction_pct,3.7037037037037033,ORTEC-SYNTH-300-s51
static,300,latest,distance_reduction_pct,-1.4222008800824397,ORTEC-SYNTH-300-s51
static,300,retry,vehicle_reduction_pct,7.4074074074074066,ORTEC-SYNTH-300-s51
static,300,retry,distance_reduction_pct,2.943109156620424,ORTEC-SYNTH-300-s51
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s50
static,300,latest,distance_reduction_pct,0.37999130381431007,ORTEC-SYNTH-300-s50
static,300,retry,vehicle_reduction_pct,6.896551724137931,ORTEC-SYNTH-300-s50
static,300,retry,distance_reduction_pct,-4.188840606385569,ORTEC-SYNTH-300-s50
static,300,latest,vehicle_reduction_pct,3.7037037037037033,ORTEC-SYNTH-300-s53
static,300,latest,distance_reduction_pct,0.7261334073354423,ORTEC-SYNTH-300-s53
static,300,retry,vehicle_reduction_pct,7.4074074074074066,ORTEC-SYNTH-300-s53
static,300,retry,distance_reduction_pct,18.7656098180676,ORTEC-SYNTH-300-s53
static,300,latest,vehicle_reduction_pct,3.225806451612903,ORTEC-SYNTH-300-s54
static,300,latest,distance_reduction_pct,1.619755630360574,ORTEC-SYNTH-300-s54
static,300,retry,vehicle_reduction_pct,22.58064516129032,ORTEC-SYNTH-300-s54
static,300,retry,distance_reduction_pct,9.432241752450654,ORTEC-SYNTH-300-s54
static,300,latest,vehicle_reduction_pct,-3.571428571428571,ORTEC-SYNTH-300-s49
static,300,latest,distance_reduction_pct,-3.9353612762453944,ORTEC-SYNTH-300-s49
static,300,retry,vehicle_reduction_pct,7.142857142857142,ORTEC-SYNTH-300-s49
static,300,retry,distance_reduction_pct,7.8716617048119035,ORTEC-SYNTH-300-s49
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s55
static,300,latest,distance_reduction_pct,0.9687760459219428,ORTEC-SYNTH-300-s55
static,300,retry,vehicle_reduction_pct,10.344827586206897,ORTEC-SYNTH-300-s55
