timestamp,instance,size,solver,time_limit_sec,vehicles,distance,feasible,late_violations,capacity_violations,runtime_sec,error
2026-05-02T12:45:02.448593,ORTEC-SYNTH-300-s74,300,ortools,120,29,163512.4,True,0,0,73.48,
2026-05-02T12:46:13.431953,ORTEC-SYNTH-300-s79,300,ortools,120,28,148676.1,True,0,0,33.1,
2026-05-02T12:46:11.671102,ORTEC-SYNTH-300-s78,300,ortools,120,29,172699.6,True,0,0,37.54,
2026-05-02T12:46:46.528626,ORTEC-SYNTH-300-s81,300,ortools,120,29,139370.0,True,0,0,26.63,
2026-05-02T12:46:15.924993,ORTEC-SYNTH-300-s80,300,ortools,120,27,140455.1,True,0,0,68.58,
2026-05-02T12:46:49.212853,ORTEC-SYNTH-300-s82,300,ortools,120,27,143080.2,True,0,0,35.38,
2026-05-02T12:47:13.161461,ORTEC-SYNTH-300-s83,300,ortools,120,28,156749.1,True,0,0,33.82,
2026-05-02T12:45:58.786248,ORTEC-SYNTH-300-s77,300,ortools,120,0,0.0,False,0,0,120.43,
2026-05-02T12:47:24.595277,ORTEC-SYNTH-300-s85,300,ortools,120,30,158177.6,True,0,0,44.39,
2026-05-02T12:47:46.980356,ORTEC-SYNTH-300-s86,300,ortools,120,30,177642.8,True,0,0,33.93,
2026-05-02T12:47:59.218461,ORTEC-SYNTH-300-s87,300,ortools,120,29,153524.8,True,0,0,31.29,
2026-05-02T12:48:20.912000,ORTEC-SYNTH-300-s89,300,ortools,120,34,195272.7,True,0,0,41.43,
2026-05-02T12:48:30.505170,ORTEC-SYNTH-300-s90,300,ortools,120,29,149695.4,True,0,0,31.92,
2026-05-02T12:47:24.510861,ORTEC-SYNTH-300-s84,300,ortools,120,30,183880.2,True,0,0,101.86,
2026-05-02T12:49:02.430743,ORTEC-SYNTH-300-s92,300,ortools,120,27,132146.4,True,0,0,26.22,
2026-05-02T12:49:28.651954,ORTEC-SYNTH-300-s94,300,ortools,120,27,134292.0,True,0,0,30.9,
2026-05-02T12:48:08.985329,ORTEC-SYNTH-300-s88,300,ortools,120,0,0.0,False,0,0,120.49,
2026-05-02T12:49:06.373886,ORTEC-SYNTH-300-s93,300,ortools,120,28,144710.6,True,0,0,79.1,
2026-05-02T12:49:59.548860,ORTEC-SYNTH-300-s95,300,ortools,120,32,175622.7,True,0,0,34.66,
2026-05-02T12:50:09.471355,ORTEC-SYNTH-300-s96,300,ortools,120,30,156964.7,True,0,0,28.1,
2026-05-02T12:49:02.346319,ORTEC-SYNTH-300-s91,300,ortools,120,0,0.0,False,0,0,120.5,
2026-05-02T12:50:34.209713,ORTEC-SYNTH-300-s98,300,ortools,120,30,154759.8,True,0,0,33.41,
2026-05-02T12:50:37.571009,ORTEC-SYNTH-300-s99,300,ortools,120,29,152213.6,True,0,0,34.96,
2026-05-02T12:50:25.478517,ORTEC-SYNTH-300-s97,300,ortools,120,29,159692.0,True,0,0,58.53,
2026-05-02T12:51:07.623741,ORTEC-SYNTH-500-s201,500,ortools,120,45,242521.2,True,0,0,74.77,
2026-05-02T12:51:02.850112,ORTEC-SYNTH-500-s200,500,ortools,120,47,262679.9,True,0,0,88.41,
2026-05-02T12:51:12.529011,ORTEC-SYNTH-500-s202,500,ortools,120,46,241455.2,False,0,0,104.38,
2026-05-02T12:51:24.011870,ORTEC-SYNTH-500-s203,500,ortools,120,46,232244.3,True,0,0,122.21,
2026-05-02T12:52:22.393051,ORTEC-SYNTH-500-s204,500,ortools,120,45,215787.6,True,0,0,80.8,
2026-05-02T12:52:31.259190,ORTEC-SYNTH-500-s205,500,ortools,120,44,217261.3,True,0,0,74.73,
2026-05-02T12:52:56.907406,ORTEC-SYNTH-500-s206,500,ortools,120,0,0.0,False,0,0,120.77,
2026-05-02T12:53:43.194463,ORTEC-SYNTH-500-s208,500,ortools,120,46,242607.9,False,0,0,79.92,
