timestamp,scenario,base_instance,num_epochs,solver,time_limit_sec,overall_served_rate,overall_feasible,total_late_violations,total_capacity_violations,total_distance,total_runtime_sec,error
2026-05-02T13:59:29.252160,ORTEC-SYNTH-300-s67_dyn5e,ORTEC-SYNTH-300-s67,5,ortools,120,1.0000,True,0,0,279429.9,43.58,
2026-05-02T13:59:52.249666,ORTEC-SYNTH-300-s69_dyn5e,ORTEC-SYNTH-300-s69,5,ortools,120,1.0000,True,0,0,274716.6,35.38,
2026-05-02T14:00:12.839000,ORTEC-SYNTH-300-s70_dyn5e,ORTEC-SYNTH-300-s70,5,ortools,120,1.0000,True,0,0,296513.9,41.04,
2026-05-02T14:00:53.880574,ORTEC-SYNTH-300-s72_dyn5e,ORTEC-SYNTH-300-s72,5,ortools,120,1.0000,True,0,0,245897.7,48.04,
2026-05-02T13:57:38.423177,ORTEC-SYNTH-300-s59_dyn5e,ORTEC-SYNTH-300-s59,5,ortools,120,0.6000,False,0,0,164420.2,264.18,
2026-05-02T14:01:41.939699,ORTEC-SYNTH-300-s73_dyn5e,ORTEC-SYNTH-300-s73,5,ortools,120,1.0000,True,0,0,179740.0,40.83,
2026-05-02T14:02:02.605511,ORTEC-SYNTH-300-s74_dyn5e,ORTEC-SYNTH-300-s74,5,ortools,120,1.0000,True,0,0,250967.0,49.03,
2026-05-02T14:02:22.774632,ORTEC-SYNTH-300-s75_dyn5e,ORTEC-SYNTH-300-s75,5,ortools,120,1.0000,True,0,0,205740.4,53.77,
2026-05-02T14:02:51.639490,ORTEC-SYNTH-300-s76_dyn5e,ORTEC-SYNTH-300-s76,5,ortools,120,1.0000,True,0,0,245846.5,43.74,
2026-05-02T14:03:35.379352,ORTEC-SYNTH-300-s78_dyn5e,ORTEC-SYNTH-300-s78,5,ortools,120,1.0000,True,0,0,267188.7,47.86,
2026-05-02T14:00:27.633413,ORTEC-SYNTH-300-s71_dyn5e,ORTEC-SYNTH-300-s71,5,ortools,120,0.6000,False,0,0,143932.5,267.69,
2026-05-02T14:04:23.240529,ORTEC-SYNTH-300-s79_dyn5e,ORTEC-SYNTH-300-s79,5,ortools,120,1.0000,True,0,0,224989.6,46.17,
2026-05-02T14:04:55.328427,ORTEC-SYNTH-300-s80_dyn5e,ORTEC-SYNTH-300-s80,5,ortools,120,1.0000,True,0,0,222511.3,45.67,
