scenario,base,epoch,served_rate,feasible,late_violations,capacity_violations,runtime_sec,orders_dispatched,orders_pending,distance,error
ORTEC-SYNTH-300-s108_dyn5e,ORTEC-SYNTH-300-s108,0,0.2000,True,0,0,4.97,60,0,53523.5,
ORTEC-SYNTH-300-s108_dyn5e,ORTEC-SYNTH-300-s108,1,0.4000,True,0,0,7.62,60,0,54055.6,
ORTEC-SYNTH-300-s108_dyn5e,ORTEC-SYNTH-300-s108,2,0.6000,True,0,0,11.45,60,0,48192.7,
ORTEC-SYNTH-300-s108_dyn5e,ORTEC-SYNTH-300-s108,3,0.8000,True,0,0,8.33,60,0,44752.3,
ORTEC-SYNTH-300-s108_dyn5e,ORTEC-SYNTH-300-s108,4,1.0000,True,0,0,8.11,60,0,53004.1,
ORTEC-SYNTH-300-s109_dyn5e,ORTEC-SYNTH-300-s109,0,0.2000,True,0,0,8.13,60,0,44971.9,
ORTEC-SYNTH-300-s109_dyn5e,ORTEC-SYNTH-300-s109,1,0.4000,True,0,0,6.2,60,0,46662.8,
ORTEC-SYNTH-300-s109_dyn5e,ORTEC-SYNTH-300-s109,2,0.6000,True,0,0,13.73,60,0,47589.8,
ORTEC-SYNTH-300-s109_dyn5e,ORTEC-SYNTH-300-s109,3,0.8000,True,0,0,6.16,60,0,47697.3,
ORTEC-SYNTH-300-s109_dyn5e,ORTEC-SYNTH-300-s109,4,1.0000,True,0,0,9.12,60,0,51483.1,
ORTEC-SYNTH-300-s111_dyn5e,ORTEC-SYNTH-300-s111,0,0.2000,True,0,0,7.92,60,0,49025.3,
ORTEC-SYNTH-300-s111_dyn5e,ORTEC-SYNTH-300-s111,1,0.4000,True,0,0,7.58,60,0,46033.1,
ORTEC-SYNTH-300-s111_dyn5e,ORTEC-SYNTH-300-s111,2,0.6000,True,0,0,7.68,60,0,55112.7,
ORTEC-SYNTH-300-s111_dyn5e,ORTEC-SYNTH-300-s111,3,0.8000,True,0,0,8.34,60,0,50342.9,
ORTEC-SYNTH-300-s111_dyn5e,ORTEC-SYNTH-300-s111,4,1.0000,True,0,0,8.43,60,0,42055.9,
ORTEC-SYNTH-300-s110_dyn5e,ORTEC-SYNTH-300-s110,0,0.2000,True,0,0,7.95,60,0,49759.4,
ORTEC-SYNTH-300-s110_dyn5e,ORTEC-SYNTH-300-s110,1,0.4000,True,0,0,8.76,60,0,51458.5,
ORTEC-SYNTH-300-s110_dyn5e,ORTEC-SYNTH-300-s110,2,0.6000,True,0,0,8.65,60,0,42665.8,
ORTEC-SYNTH-300-s110_dyn5e,ORTEC-SYNTH-300-s110,3,0.8000,True,0,0,10.01,60,0,40497.9,
ORTEC-SYNTH-300-s110_dyn5e,ORTEC-SYNTH-300-s110,4,1.0000,True,0,0,7.28,60,0,46627.3,
ORTEC-SYNTH-300-s42_dyn5e,ORTEC-SYNTH-300-s42,0,0.2000,True,0,0,9.2,60,0,52482.8,
ORTEC-SYNTH-300-s42_dyn5e,ORTEC-SYNTH-300-s42,1,0.4000,True,0,0,7.47,60,0,47976.1,
ORTEC-SYNTH-300-s42_dyn5e,ORTEC-SYNTH-300-s42,2,0.6000,True,0,0,7.69,60,0,46398.2,
ORTEC-SYNTH-300-s42_dyn5e,ORTEC-SYNTH-300-s42,3,0.8000,True,0,0,9.19,60,0,43524.3,
ORTEC-SYNTH-300-s42_dyn5e,ORTEC-SYNTH-300-s42,4,1.0000,True,0,0,8.57,60,0,52943.5,
ORTEC-SYNTH-300-s43_dyn5e,ORTEC-SYNTH-300-s43,0,0.2000,True,0,0,11.38,60,0,46821.6,
ORTEC-SYNTH-300-s43_dyn5e,ORTEC-SYNTH-300-s43,1,0.4000,True,0,0,8.72,60,0,48363.5,
ORTEC-SYNTH-300-s43_dyn5e,ORTEC-SYNTH-300-s43,2,0.6000,True,0,0,11.34,60,0,51738.9,
ORTEC-SYNTH-300-s43_dyn5e,ORTEC-SYNTH-300-s43,3,0.8000,True,0,0,8.92,60,0,48658.1,
ORTEC-SYNTH-300-s43_dyn5e,ORTEC-SYNTH-300-s43,4,1.0000,True,0,0,5.75,60,0,47110.7,
ORTEC-SYNTH-300-s44_dyn5e,ORTEC-SYNTH-300-s44,0,0.2000,True,0,0,6.49,60,0,38522.7,
ORTEC-SYNTH-300-s44_dyn5e,ORTEC-SYNTH-300-s44,1,0.4000,True,0,0,9.5,60,0,51443.6,
ORTEC-SYNTH-300-s44_dyn5e,ORTEC-SYNTH-300-s44,2,0.6000,True,0,0,9.66,60,0,42512.0,
ORTEC-SYNTH-300-s44_dyn5e,ORTEC-SYNTH-300-s44,3,0.8000,True,0,0,9.67,60,0,42277.3,
ORTEC-SYNTH-300-s44_dyn5e,ORTEC-SYNTH-300-s44,4,1.0000,True,0,0,7.77,60,0,43330.3,
ORTEC-SYNTH-300-s45_dyn5e,ORTEC-SYNTH-300-s45,0,0.2000,True,0,0,7.98,60,0,44753.2,
ORTEC-SYNTH-300-s45_dyn5e,ORTEC-SYNTH-300-s45,1,0.4000,True,0,0,6.98,60,0,47767.1,
ORTEC-SYNTH-300-s45_dyn5e,ORTEC-SYNTH-300-s45,2,0.6000,True,0,0,8.85,60,0,40825.5,
ORTEC-SYNTH-300-s45_dyn5e,ORTEC-SYNTH-300-s45,3,0.8000,True,0,0,11.52,60,0,44241.3,
ORTEC-SYNTH-300-s45_dyn5e,ORTEC-SYNTH-300-s45,4,1.0000,True,0,0,7.35,60,0,42643.3,
ORTEC-SYNTH-300-s46_dyn5e,ORTEC-SYNTH-300-s46,0,0.2000,True,0,0,8.61,60,0,48628.2,
ORTEC-SYNTH-300-s46_dyn5e,ORTEC-SYNTH-300-s46,1,0.4000,True,0,0,12.15,60,0,47688.6,
ORTEC-SYNTH-300-s46_dyn5e,ORTEC-SYNTH-300-s46,2,0.6000,True,0,0,9.13,60,0,46574.8,
ORTEC-SYNTH-300-s46_dyn5e,ORTEC-SYNTH-300-s46,3,0.8000,True,0,0,6.63,60,0,38869.5,
ORTEC-SYNTH-300-s46_dyn5e,ORTEC-SYNTH-300-s46,4,1.0000,True,0,0,7.28,60,0,49039.7,
ORTEC-SYNTH-300-s47_dyn5e,ORTEC-SYNTH-300-s47,0,0.2000,True,0,0,7.94,60,0,38334.8,
ORTEC-SYNTH-300-s47_dyn5e,ORTEC-SYNTH-300-s47,1,0.4000,True,0,0,9.3,60,0,37482.6,
ORTEC-SYNTH-300-s47_dyn5e,ORTEC-SYNTH-300-s47,2,0.6000,True,0,0,6.9,60,0,34011.0,
ORTEC-SYNTH-300-s47_dyn5e,ORTEC-SYNTH-300-s47,3,0.8000,True,0,0,6.62,60,0,37939.4,
ORTEC-SYNTH-300-s47_dyn5e,ORTEC-SYNTH-300-s47,4,1.0000,True,0,0,6.18,60,0,32612.4,
ORTEC-SYNTH-300-s49_dyn5e,ORTEC-SYNTH-300-s49,0,0.2000,True,0,0,6.84,60,0,50222.2,
ORTEC-SYNTH-300-s49_dyn5e,ORTEC-SYNTH-300-s49,1,0.4000,True,0,0,10.19,60,0,57170.4,
ORTEC-SYNTH-300-s49_dyn5e,ORTEC-SYNTH-300-s49,2,0.6000,True,0,0,10.0,60,0,52752.7,
ORTEC-SYNTH-300-s49_dyn5e,ORTEC-SYNTH-300-s49,3,0.8000,True,0,0,6.03,60,0,48364.7,
ORTEC-SYNTH-300-s49_dyn5e,ORTEC-SYNTH-300-s49,4,1.0000,True,0,0,6.23,60,0,41866.8,
ORTEC-SYNTH-300-s48_dyn5e,ORTEC-SYNTH-300-s48,0,0.2000,True,0,0,7.75,60,0,49502.8,
ORTEC-SYNTH-300-s48_dyn5e,ORTEC-SYNTH-300-s48,1,0.4000,True,0,0,9.9,60,0,47947.4,
ORTEC-SYNTH-300-s48_dyn5e,ORTEC-SYNTH-300-s48,2,0.6000,True,0,0,7.82,60,0,45751.8,
ORTEC-SYNTH-300-s48_dyn5e,ORTEC-SYNTH-300-s48,3,0.8000,True,0,0,9.25,60,0,48089.1,
ORTEC-SYNTH-300-s48_dyn5e,ORTEC-SYNTH-300-s48,4,1.0000,True,0,0,10.16,60,0,48731.8,
ORTEC-SYNTH-300-s50_dyn5e,ORTEC-SYNTH-300-s50,0,0.2000,True,0,0,7.98,60,0,44771.6,
ORTEC-SYNTH-300-s50_dyn5e,ORTEC-SYNTH-300-s50,1,0.4000,True,0,0,7.99,60,0,45327.5,
ORTEC-SYNTH-300-s50_dyn5e,ORTEC-SYNTH-300-s50,2,0.6000,True,0,0,8.83,60,0,40728.4,
ORTEC-SYNTH-300-s50_dyn5e,ORTEC-SYNTH-300-s50,3,0.8000,True,0,0,8.35,60,0,48182.6,
ORTEC-SYNTH-300-s50_dyn5e,ORTEC-SYNTH-300-s50,4,1.0000,True,0,0,9.07,60,0,47152.7,
ORTEC-SYNTH-300-s51_dyn5e,ORTEC-SYNTH-300-s51,0,0.2000,True,0,0,11.55,60,0,44357.5,
ORTEC-SYNTH-300-s51_dyn5e,ORTEC-SYNTH-300-s51,1,0.4000,True,0,0,7.81,60,0,43496.3,
ORTEC-SYNTH-300-s51_dyn5e,ORTEC-SYNTH-300-s51,2,0.6000,True,0,0,10.05,60,0,46171.3,
ORTEC-SYNTH-300-s51_dyn5e,ORTEC-SYNTH-300-s51,3,0.8000,True,0,0,6.55,60,0,45865.5,
ORTEC-SYNTH-300-s51_dyn5e,ORTEC-SYNTH-300-s51,4,1.0000,True,0,0,8.21,60,0,47477.8,
ORTEC-SYNTH-300-s52_dyn5e,ORTEC-SYNTH-300-s52,0,0.2000,True,0,0,8.44,60,0,49506.5,
ORTEC-SYNTH-300-s52_dyn5e,ORTEC-SYNTH-300-s52,1,0.4000,True,0,0,9.51,60,0,43662.6,
ORTEC-SYNTH-300-s52_dyn5e,ORTEC-SYNTH-300-s52,2,0.6000,True,0,0,8.33,60,0,56331.5,
ORTEC-SYNTH-300-s52_dyn5e,ORTEC-SYNTH-300-s52,3,0.8000,True,0,0,6.09,60,0,50511.7,
ORTEC-SYNTH-300-s52_dyn5e,ORTEC-SYNTH-300-s52,4,1.0000,True,0,0,6.47,60,0,56236.9,
ORTEC-SYNTH-300-s53_dyn5e,ORTEC-SYNTH-300-s53,0,0.2000,True,0,0,6.99,60,0,41328.1,
ORTEC-SYNTH-300-s53_dyn5e,ORTEC-SYNTH-300-s53,1,0.4000,True,0,0,6.98,60,0,39330.0,
ORTEC-SYNTH-300-s53_dyn5e,ORTEC-SYNTH-300-s53,2,0.6000,True,0,0,9.81,60,0,42376.5,
ORTEC-SYNTH-300-s53_dyn5e,ORTEC-SYNTH-300-s53,3,0.8000,True,0,0,10.29,60,0,44395.6,
ORTEC-SYNTH-300-s53_dyn5e,ORTEC-SYNTH-300-s53,4,1.0000,True,0,0,12.3,60,0,37722.0,
ORTEC-SYNTH-300-s54_dyn5e,ORTEC-SYNTH-300-s54,0,0.2000,True,0,0,7.12,60,0,50403.0,
ORTEC-SYNTH-300-s54_dyn5e,ORTEC-SYNTH-300-s54,1,0.4000,True,0,0,10.04,60,0,60807.1,
ORTEC-SYNTH-300-s54_dyn5e,ORTEC-SYNTH-300-s54,2,0.6000,True,0,0,9.28,60,0,51947.1,
ORTEC-SYNTH-300-s54_dyn5e,ORTEC-SYNTH-300-s54,3,0.8000,True,0,0,7.6,60,0,57400.4,
ORTEC-SYNTH-300-s54_dyn5e,ORTEC-SYNTH-300-s54,4,1.0000,True,0,0,6.33,60,0,48385.8,
ORTEC-SYNTH-300-s55_dyn5e,ORTEC-SYNTH-300-s55,0,0.2000,True,0,0,8.61,60,0,49962.8,
ORTEC-SYNTH-300-s55_dyn5e,ORTEC-SYNTH-300-s55,1,0.4000,True,0,0,12.52,60,0,48406.2,
ORTEC-SYNTH-300-s55_dyn5e,ORTEC-SYNTH-300-s55,2,0.6000,True,0,0,8.86,60,0,55253.4,
ORTEC-SYNTH-300-s55_dyn5e,ORTEC-SYNTH-300-s55,3,0.8000,True,0,0,6.29,60,0,53608.2,
ORTEC-SYNTH-300-s55_dyn5e,ORTEC-SYNTH-300-s55,4,1.0000,True,0,0,15.26,60,0,47450.9,
ORTEC-SYNTH-300-s56_dyn5e,ORTEC-SYNTH-300-s56,0,0.2000,True,0,0,7.46,60,0,52728.5,
ORTEC-SYNTH-300-s56_dyn5e,ORTEC-SYNTH-300-s56,1,0.4000,True,0,0,6.37,60,0,51496.1,
ORTEC-SYNTH-300-s56_dyn5e,ORTEC-SYNTH-300-s56,2,0.6000,True,0,0,9.37,60,0,43636.4,
ORTEC-SYNTH-300-s56_dyn5e,ORTEC-SYNTH-300-s56,3,0.8000,True,0,0,10.51,60,0,47536.4,
ORTEC-SYNTH-300-s56_dyn5e,ORTEC-SYNTH-300-s56,4,1.0000,True,0,0,7.79,60,0,41519.0,
ORTEC-SYNTH-300-s57_dyn5e,ORTEC-SYNTH-300-s57,0,0.2000,True,0,0,9.87,60,0,52311.7,
ORTEC-SYNTH-300-s57_dyn5e,ORTEC-SYNTH-300-s57,1,0.4000,True,0,0,9.11,60,0,44672.6,
ORTEC-SYNTH-300-s57_dyn5e,ORTEC-SYNTH-300-s57,2,0.6000,True,0,0,8.52,60,0,45815.6,
