rule,scale,n,ort_feasible,droc_feasible,extra_solved,regressions,ort_served_mean,droc_served_mean,ort_runtime_mean,droc_runtime_mean
latest,300,70,64,64,0,0,0.9485714285714286,0.9606814285714287,73.97371428571428,778.243
latest,500,73,66,66,0,0,0.9452054794520548,0.9524383561643835,116.39315068493151,935.9141095890411
latest,800,63,44,44,0,0,0.7746031746031746,0.8182857142857144,274.8590476190476,1231.0036507936509
retry,300,70,64,67,3,0,0.9485714285714286,0.9804428571428572,73.97371428571428,671.0287142857143
retry,500,73,66,71,5,0,0.9452054794520548,0.9827945205479452,116.39315068493151,728.0031506849315
retry,800,63,44,56,12,0,0.7746031746031746,0.9248968253968255,274.8590476190476,948.1809523809524
